3P,3PA,AST,BLK,FG,FGA,FT,FTA,ORB,PF,PTS,STL,TOV,TRB,is_Home,Team_Win,opponent,opp_TRB,opp_3P,opp_3PA,opp_AST,opp_BLK,opp_FG,opp_FGA,opp_FT,opp_FTA,opp_PTS,opp_ORB,opp_STL,opp_PF,opp_TOV,Team,Game_Id
4.0,22.0,14.0,5.0,32.0,86.0,11.0,15.0,7.0,19.0,79.0,6.0,9.0,45.0,0,0,San Antonio,50.0,10.0,24.0,21.0,7.0,35.0,83.0,18.0,23.0,98.0,6.0,6.0,15.0,9.0,New Orleans,10/29/2016_San Antonio_New Orleans
10.0,24.0,21.0,7.0,35.0,83.0,18.0,23.0,6.0,15.0,98.0,6.0,9.0,50.0,1,1,New Orleans,45.0,4.0,22.0,14.0,5.0,32.0,86.0,11.0,15.0,79.0,7.0,6.0,19.0,9.0,San Antonio,10/29/2016_San Antonio_New Orleans
4.0,17.0,22.0,4.0,34.0,87.0,11.0,14.0,10.0,16.0,83.0,10.0,12.0,40.0,0,0,Detroit,58.0,5.0,20.0,23.0,4.0,39.0,88.0,15.0,20.0,98.0,16.0,8.0,14.0,15.0,Milwaukee,10/30/2016_Detroit_Milwaukee
5.0,20.0,23.0,4.0,39.0,88.0,15.0,20.0,16.0,14.0,98.0,8.0,15.0,58.0,1,1,Milwaukee,40.0,4.0,17.0,22.0,4.0,34.0,87.0,11.0,14.0,83.0,10.0,10.0,16.0,12.0,Detroit,10/30/2016_Detroit_Milwaukee
11.0,31.0,17.0,3.0,32.0,86.0,17.0,20.0,13.0,17.0,92.0,8.0,9.0,43.0,0,0,Houston,47.0,11.0,31.0,16.0,4.0,34.0,81.0,14.0,21.0,93.0,9.0,5.0,21.0,17.0,Dallas,10/30/2016_Houston_Dallas
11.0,31.0,16.0,4.0,34.0,81.0,14.0,21.0,9.0,21.0,93.0,5.0,17.0,47.0,1,1,Dallas,43.0,11.0,31.0,17.0,3.0,32.0,86.0,17.0,20.0,92.0,13.0,8.0,17.0,9.0,Houston,10/30/2016_Houston_Dallas
7.0,19.0,18.0,2.0,29.0,73.0,10.0,13.0,7.0,22.0,75.0,8.0,18.0,43.0,0,0,LA Clippers,49.0,6.0,27.0,17.0,4.0,34.0,83.0,14.0,20.0,88.0,14.0,8.0,14.0,13.0,Utah,10/30/2016_LA Clippers_Utah
6.0,27.0,17.0,4.0,34.0,83.0,14.0,20.0,14.0,14.0,88.0,8.0,13.0,49.0,1,1,Utah,43.0,7.0,19.0,18.0,2.0,29.0,73.0,10.0,13.0,75.0,7.0,8.0,22.0,18.0,LA Clippers,10/30/2016_LA Clippers_Utah
5.0,25.0,19.0,4.0,38.0,86.0,22.0,25.0,8.0,23.0,103.0,8.0,14.0,40.0,0,0,Memphis,47.0,15.0,31.0,24.0,2.0,39.0,88.0,19.0,26.0,112.0,11.0,9.0,26.0,14.0,Washington,10/30/2016_Memphis_Washington
15.0,31.0,24.0,2.0,39.0,88.0,19.0,26.0,11.0,26.0,112.0,9.0,14.0,47.0,1,1,Washington,40.0,5.0,25.0,19.0,4.0,38.0,86.0,22.0,25.0,103.0,8.0,8.0,23.0,14.0,Memphis,10/30/2016_Memphis_Washington
10.0,18.0,20.0,5.0,37.0,82.0,22.0,26.0,14.0,26.0,106.0,4.0,15.0,44.0,0,1,Miami,36.0,7.0,20.0,19.0,6.0,37.0,80.0,18.0,26.0,99.0,6.0,7.0,24.0,12.0,San Antonio,10/30/2016_Miami_San Antonio
7.0,20.0,19.0,6.0,37.0,80.0,18.0,26.0,6.0,24.0,99.0,7.0,12.0,36.0,1,0,San Antonio,44.0,10.0,18.0,20.0,5.0,37.0,82.0,22.0,26.0,106.0,14.0,4.0,26.0,15.0,Miami,10/30/2016_Miami_San Antonio
7.0,32.0,20.0,2.0,35.0,87.0,19.0,24.0,11.0,18.0,96.0,15.0,21.0,41.0,0,0,Oklahoma City,45.0,9.0,26.0,29.0,6.0,45.0,95.0,14.0,17.0,113.0,10.0,15.0,22.0,19.0,LA Lakers,10/30/2016_Oklahoma City_LA Lakers
9.0,26.0,29.0,6.0,45.0,95.0,14.0,17.0,10.0,22.0,113.0,15.0,19.0,45.0,1,1,LA Lakers,41.0,7.0,32.0,20.0,2.0,35.0,87.0,19.0,24.0,96.0,11.0,15.0,18.0,21.0,Oklahoma City,10/30/2016_Oklahoma City_LA Lakers
8.0,29.0,27.0,5.0,35.0,83.0,28.0,33.0,7.0,23.0,106.0,6.0,15.0,43.0,0,1,Phoenix,50.0,8.0,23.0,19.0,6.0,37.0,90.0,18.0,25.0,100.0,11.0,10.0,26.0,11.0,Golden State,10/30/2016_Phoenix_Golden State
8.0,23.0,19.0,6.0,37.0,90.0,18.0,25.0,11.0,26.0,100.0,10.0,11.0,50.0,1,0,Golden State,43.0,8.0,29.0,27.0,5.0,35.0,83.0,28.0,33.0,106.0,7.0,6.0,23.0,15.0,Phoenix,10/30/2016_Phoenix_Golden State
10.0,23.0,26.0,6.0,36.0,75.0,13.0,19.0,6.0,34.0,95.0,10.0,19.0,38.0,0,0,Atlanta,43.0,11.0,30.0,24.0,6.0,33.0,79.0,29.0,47.0,106.0,17.0,11.0,20.0,13.0,Sacramento,10/31/2016_Atlanta_Sacramento
11.0,30.0,24.0,6.0,33.0,79.0,29.0,47.0,17.0,20.0,106.0,11.0,13.0,43.0,1,1,Sacramento,38.0,10.0,23.0,26.0,6.0,36.0,75.0,13.0,19.0,95.0,6.0,10.0,34.0,19.0,Atlanta,10/31/2016_Atlanta_Sacramento
